HKL Value		Reward			TotalReward	Chi Squared Value	Z Coordinate Approximation		dx
3 5 5			0.0891306865633			-326.657800961		102.824272004		0.363573834296
2 6 10			-0.252941377156			-326.910742339		103.077213381		0.363437503889
4 2 4			0.243863978295			-326.66687836		102.589485425		0.363429168765
0 4 18			-8.22834280391			-334.895221164		110.817828229		0.363050427645
3 5 3			0.384408441139			-334.510812723		110.049011346		0.363050427645
6 0 8			0.383754531688			-334.127058191		109.281502283		0.363050427645
1 5 1			0.380158926438			-333.746899265		108.52118443		0.363050302605
4 0 4			0.380727437963			-333.366171827		107.759729554		0.363050302605
3 1 15			0.363603027605			-333.002568799		107.032523499		0.363050302605
1 1 13			0.204890820962			-332.797677978		106.622741857		0.362936777981
5 1 13			0.210298816615			-332.587379162		106.202144224		0.362839015995
3 1 5			0.296874798088			-332.290504364		105.608394628		0.362822789797
5 3 1			0.35407338979			-331.936430974		104.900247848		0.362822789797
1 5 5			0.142344682142			-331.794086292		104.615558484		0.362790142892
3 3 5			0.185088928751			-331.608997363		104.245380626		0.362761031503
1 3 5			0.292119690853			-331.316877672		103.661141244		0.362746474271
2 4 4			0.229258561813			-331.08761911		103.202624121		0.362746474271
4 0 6			0.122218427731			-330.965400683		102.958187265		0.362774580632
2 4 6			0.326314749902			-330.639085933		102.305557766		0.362784036352
3 7 1			0.296440208412			-330.342645724		101.712677349		0.362784036352
3 5 9			0.297622004177			-330.04502372		101.11743334		0.362784036352
5 3 7			0.323992727687			-329.721030992		100.469447885		0.362784036352
0 2 20			-3.27283824736			-332.99386924		103.742286132		0.361811702428
3 1 3			0.326222054991			-332.667647185		103.089842022		0.361813002615
0 6 10			0.147046007801			-332.520601177		102.795750007		0.361854661017
2 2 8			0.118491192263			-332.402109985		102.558767622		0.361831222168
6 2 10			-0.013053373533			-332.415163358		102.571820996		0.361780462508
5 3 11			-0.871580043423			-333.286743402		103.443401039		0.361762474772
5 1 3			0.31638236213			-332.97036104		102.810636315		0.361759693226
0 2 12			0.280263764998			-332.690097275		102.250108785		0.361759693226
4 2 12			0.303223484522			-332.38687379		101.643661816		0.361759693226
3 3 7			0.304083861761			-332.082789928		101.035494092		0.361759693226
0 2 16			0.283492725462			-331.799297203		100.468508641		0.361764931172
3 7 3			0.29868106769			-331.500616135		99.8711465061		0.361764931172
2 4 10			0.189504149567			-331.311111986		99.492138207		0.361795680643
0 2 18			0.285982312682			-331.025129673		98.9201735816		0.361795680643
4 4 8			0.0572405488692			-330.967889124		98.8056924839		0.361768034281
0 0 6			0.218478834228			-330.74941029		98.3687348154		0.361784967382
0 0 10			-0.0168924961937			-330.766302786		98.3856273116		0.361732905372
3 3 9			0.273020597749			-330.493282188		97.8395861161		0.361724012572
2 6 4			0.276748704297			-330.216533484		97.2860887075		0.361724012572
4 4 10			0.037055821302			-330.179477663		97.2119770649		0.361682699852
3 1 7			0.274377086274			-329.905100576		96.6632228924		0.36168136356
3 3 3			0.270394265216			-329.634706311		96.1224343619		0.36168136356
4 0 8			0.100426337409			-329.534279974		95.9215816871		0.361661825998
6 0 6			0.217546913806			-329.31673306		95.4864878595		0.361672819207
5 1 1			0.256347497534			-329.060385562		94.9737928644		0.361672819207
2 2 14			-1.21820262551			-330.278588188		96.1919954899		0.361752369844
1 3 7			0.262646729782			-330.015941458		95.6667020304		0.361752369844
3 5 7			0.259962799089			-329.755978659		95.1467764322		0.361752369844
9 1 1			0.215007212621			-329.540971446		94.716762007		0.361752369844
0 2 6			0.250562359868			-329.290409087		94.2156372872		0.361752369844
0 4 20			-2.89182664708			-332.182235734		97.1074639343		0.362321197498
6 0 12			0.258251182591			-331.923984551		96.5909615691		0.362321197498
0 0 14			-1.54859320115			-333.472577752		98.1395547703		0.362415053242
6 2 2			0.252946122757			-333.219631629		97.6336625248		0.362414962401
1 3 13			0.168527314504			-333.051104315		97.2966078957		0.36237031416
5 5 3			0.252231714711			-332.7988726		96.7921444663		0.36237031416
0 2 0			0.249379591487			-332.549493009		96.2933852834		0.36237031416
4 6 6			0.138433619771			-332.411059389		96.0165180438		0.36239130646
3 1 11			0.0342507263072			-332.376808663		95.9480165912		0.36239130646
0 4 16			-5.57091186338			-337.947720526		101.518928455		0.361913457901
2 6 8			-0.0119012167482			-337.959621743		101.530829671		0.361888327693
